gene_id	log2(fold_change)	q_value	p_value	significant	value_1	value_2
15S_rRNA	-0.147226	0.34399	0.29445	no	1.38529	1.25089
21S_rRNA	-0.247093	0.00325747	0.002	yes	4.06204	3.42264
HRA1	-1.35728	0.078812	0.0591	no	3.52945	1.3776
ICR1	0.074968	0.207454	0.1693	no	7.68989	8.10005
LSR1	-0.263161	9.44412e-05	5e-05	yes	24.0442	20.0351
NME1	0.0189985	0.884853	0.86375	no	20.3171	20.5864
PWR1	-inf	1	1	no	0.0137769	0
Q0010	0	1	1	no	0	0
Q0017	0	1	1	no	0	0
Q0032	0	1	1	no	0	0
Q0045	0.480264	1	1	no	0.262534	0.366235
Q0050	-0.0364773	1	1	no	0.481276	0.46926
Q0055	0.228645	1	1	no	0.285022	0.33397
Q0060	-0.0349748	1	1	no	0.0291095	0.0284123
Q0065	-0.569982	1	1	no	0.048939	0.0329666
Q0070	0.092212	1	1	no	0.00699228	0.00745379
Q0075	-1.35155	1	1	no	0.020774	0.00814076
Q0080	0	1	1	no	0	0
Q0085	0.417518	1	1	no	0.102324	0.136666
Q0092	0	1	1	no	0	0
Q0105	0.181036	1	1	no	0.237575	0.269338
Q0110	-0.0178376	1	1	no	0.0136012	0.0134341
Q0115	0.905498	1	1	no	1.40489e-07	2.63162e-07
Q0120	1.57096	1	1	no	0.0136779	0.0406374
Q0130	0.414863	0.101429	0.07775	no	7.43191	9.90801
Q0140	0	1	1	no	0	0
Q0142	0	1	1	no	0	0
Q0143	0	1	1	no	0	0
Q0144	0	1	1	no	0	0
Q0160	-0.216689	1	1	no	0.306812	0.264024
Q0182	0	1	1	no	0	0
Q0250	0.0508697	1	1	no	0.309674	0.320788
Q0255	1.90441	1	1	no	0.00222954	0.0083464
Q0275	-0.25569	1	1	no	0.318958	0.267155
Q0297	inf	1	1	no	0	0.212283
RDN18-1	0	1	1	no	0	0
RDN18-2	0	1	1	no	0	0
RDN25-1	0	1	1	no	0	0
RDN25-2	0	1	1	no	0	0
RDN37-1	0	1	1	no	0	0
RDN37-2	0	1	1	no	0	0
RDN5-1	0.00261843	0.979244	0.9764	no	1972.18	1975.77
RDN5-2	-0.0487544	0.80912	0.7777	no	932.761	901.766
RDN5-3	0.027309	0.880985	0.8593	no	1000.46	1019.57
RDN5-4	-0.261848	0.268278	0.2239	no	660.623	550.972
RDN5-5	-0.100628	0.545729	0.49325	no	1778.52	1658.7
RDN5-6	0.00597423	0.959763	0.9536	no	1171.98	1176.85
RDN58-1	0	1	1	no	0	0
RDN58-2	0	1	1	no	0	0
RNA170	0.516052	0.00160195	0.00095	yes	57.5917	82.3583
RPM1	0	1	1	no	0	0
RPR1	-1.32151	9.44412e-05	5e-05	yes	45.3709	18.1536
RUF20	0.00519478	0.955	0.9477	no	26.9961	27.0934
RUF21	0.2421	0.204406	0.1665	no	1.57902	1.86753
RUF22	-0.577203	1	1	no	0.0392856	0.0263316
RUF23	0.47954	0.0197503	0.0135	yes	7.3365	10.2293
RUF5-1	-0.478155	9.44412e-05	5e-05	yes	334.573	240.189
RUF5-2	-0.486393	9.44412e-05	5e-05	yes	208.637	148.927
SCR1	-0.300827	0.00018467	0.0001	yes	183.323	148.819
SRG1	-0.447472	0.107244	0.0827	no	96.9454	71.0926
TLC1	0.211773	9.44412e-05	5e-05	yes	144.752	167.638
YAL001C	0.366621	9.44412e-05	5e-05	yes	16.4689	21.2338
YAL002W	-0.136406	0.00379352	0.00235	yes	15.5823	14.1765
YAL003W	-0.868146	9.44412e-05	5e-05	yes	2873.85	1574.44
YAL004W	0	1	1	no	0	0
YAL005C	-0.846536	9.44412e-05	5e-05	yes	1123.25	624.657
YAL007C	0.259262	9.44412e-05	5e-05	yes	230.637	276.042
YAL008W	0.190593	9.44412e-05	5e-05	yes	107.88	123.116
YAL009W	0.245104	9.44412e-05	5e-05	yes	58.664	69.5273
YAL010C	0.095106	0.053562	0.03915	no	27.5838	29.4634
YAL011W	0.325705	9.44412e-05	5e-05	yes	24.8144	31.0993
YAL012W	0.271062	9.44412e-05	5e-05	yes	584.59	705.422
YAL013W	0.32344	9.44412e-05	5e-05	yes	122.895	153.779
YAL014C	0.250245	9.44412e-05	5e-05	yes	198.831	236.492
YAL015C	0.494585	9.44412e-05	5e-05	yes	46.4004	65.3742
YAL016C-A	-0.853969	0.00018467	0.0001	yes	131.292	72.6388
YAL016C-B	0.782825	9.44412e-05	5e-05	yes	168.429	289.781
YAL016W	-0.0460259	0.34399	0.29445	no	117.175	113.496
YAL017W	0.0245825	0.604484	0.55495	no	33.6926	34.2716
YAL018C	-0.152449	1	1	no	0.344264	0.309742
YAL019W	-0.539867	9.44412e-05	5e-05	yes	26.5107	18.235
YAL019W-A	-0.35331	0.501972	0.44925	no	4.66125	3.64876
YAL020C	0.106934	0.0228949	0.0158	yes	120.118	129.36
YAL021C	-0.306758	9.44412e-05	5e-05	yes	58.6945	47.452
YAL022C	0.120214	0.00819558	0.0053	yes	87.3596	94.9508
YAL023C	-0.0760012	0.111602	0.08635	no	203.301	192.868
YAL024C	0.201261	9.44412e-05	5e-05	yes	6.39666	7.35426
YAL025C	-1.19602	9.44412e-05	5e-05	yes	143.892	62.8057
YAL026C	0.00837743	0.893722	0.8735	no	29.9868	30.1614
YAL026C-A	0.74075	9.44412e-05	5e-05	yes	56.8152	94.9407
YAL027W	-0.0300513	0.811907	0.781	no	49.0413	48.0303
YAL028W	0.202021	9.44412e-05	5e-05	yes	34.6482	39.8561
YAL029C	-0.040703	0.386393	0.335	no	33.4147	32.4852
YAL030W	0.335659	9.44412e-05	5e-05	yes	397.276	501.344
YAL031C	0.269886	9.44412e-05	5e-05	yes	28.4453	34.2969
YAL031W-A	0.823503	9.44412e-05	5e-05	yes	61.0045	107.959
YAL032C	0.297333	9.44412e-05	5e-05	yes	63.3546	77.8546
YAL033W	-0.235469	9.44412e-05	5e-05	yes	92.1335	78.259
YAL034C	0.0735249	0.118371	0.09195	no	59.0792	62.1681
YAL034C-B	0.0473079	0.844961	0.81835	no	11.194	11.5671
YAL034W-A	0.346098	9.44412e-05	5e-05	yes	21.4043	27.2074
YAL035W	-0.402365	9.44412e-05	5e-05	yes	195.109	147.623
YAL036C	-0.661405	9.44412e-05	5e-05	yes	78.6863	49.7504
YAL037C-A	-0.208591	0.435726	0.3833	no	277.035	239.741
YAL037C-B	0	1	1	no	0	0
YAL037W	0.523875	9.44412e-05	5e-05	yes	9.29916	13.3704
YAL038W	0	1	1	no	0	0
YAL039C	0.0423702	0.377926	0.3268	no	341.2	351.369
YAL040C	-0.0893337	0.0536876	0.03925	no	58.4095	54.9024
YAL041W	-0.0368173	0.441855	0.3893	no	32.2755	31.4623
YAL042C-A	-0.944161	0.00018467	0.0001	yes	373.835	194.294
YAL042W	0.0591401	0.28863	0.24265	no	482.029	502.199
YAL043C	0.0307931	0.531283	0.47865	no	44.9567	45.9266
YAL044C	-1.10528	9.44412e-05	5e-05	yes	556.154	258.507
YAL044W-A	0.400791	9.44412e-05	5e-05	yes	217.04	286.543
YAL045C	0.269235	0.0970756	0.07425	no	70.4065	84.8516
YAL046C	0.0232319	0.669173	0.62375	no	201.61	204.883
YAL047C	0.140665	0.0121325	0.00805	yes	13.0361	14.3712
YAL047W-A	0.312493	0.494666	0.44135	no	3.71091	4.60841
YAL048C	-0.401671	9.44412e-05	5e-05	yes	11.4953	8.70173
YAL049C	0.315026	9.44412e-05	5e-05	yes	131.177	163.188
YAL051W	0.065193	0.172302	0.1384	no	18.6768	19.5401
YAL053W	0.395868	9.44412e-05	5e-05	yes	179.811	236.584
YAL054C	0.591531	9.44412e-05	5e-05	yes	16.4401	24.7727
YAL055W	0.288654	9.44412e-05	5e-05	yes	120.047	146.638
YAL056C-A	0.295859	0.0324085	0.02295	yes	44.1144	54.1555
YAL056W	0.295225	9.44412e-05	5e-05	yes	53.5379	65.6951
YAL058W	-0.120837	0.0281755	0.01975	yes	28.5834	26.2868
YAL059C-A	-inf	1	1	no	0.323393	0
YAL059W	-0.874042	9.44412e-05	5e-05	yes	68.0713	37.1408
YAL060W	-0.440102	9.44412e-05	5e-05	yes	208.409	153.615
YAL061W	-2.23271	9.44412e-05	5e-05	yes	247.344	52.6244
YAL062W	0.183447	9.44412e-05	5e-05	yes	45.8478	52.0644
YAL063C	-0.0133413	0.806435	0.77475	no	10.2111	10.1172
YAL063C-A	1.20885	9.44412e-05	5e-05	yes	2.93046	6.77385
YAL064C-A	-0.252586	0.0152876	0.0103	yes	25.0502	21.0269
YAL064W	1.647	9.44412e-05	5e-05	yes	3.45557	10.8222
YAL064W-B	-0.48794	0.000360088	0.0002	yes	12.1017	8.629
YAL065C	0.155137	0.156708	0.1247	no	18.6607	20.7792
YAL066W	0.870767	1	1	no	0.164378	0.300588
YAL067C	1.23109	9.44412e-05	5e-05	yes	1.60915	3.77738
YAL067W-A	0.0391966	1	1	no	1.59098	1.6348
YAL068C	0.0944845	0.570814	0.51985	no	6.6197	7.06775
YAL068W-A	0.39961	1	1	no	0.0806869	0.106438
YAL069W	1.80388	1	1	no	0.111056	0.387761
YAR002C-A	0.241293	9.44412e-05	5e-05	yes	355.014	419.644
YAR002W	-0.165178	0.000273377	0.00015	yes	61.3732	54.7338
YAR003W	0.130804	0.00470174	0.00295	yes	49.0251	53.6778
YAR007C	0.505568	9.44412e-05	5e-05	yes	39.3974	55.9318
YAR008W	0.609463	9.44412e-05	5e-05	yes	34.7833	53.0686
YAR009C	-2.46649	9.44412e-05	5e-05	yes	69.2845	12.5357
YAR010C	-0.535323	9.44412e-05	5e-05	yes	67.2384	46.3948
YAR014C	-0.149902	0.000532366	0.0003	yes	56.897	51.2819
YAR015W	-1.29856	9.44412e-05	5e-05	yes	410.838	167.018
YAR018C	0.307338	9.44412e-05	5e-05	yes	27.8798	34.4991
YAR019C	0.174172	0.000273377	0.00015	yes	12.5905	14.2061
YAR019W-A	-0.376696	0.514955	0.46205	no	3.2068	2.46987
YAR020C	0.180933	0.121745	0.09485	no	177.098	200.761
YAR023C	0.0247467	0.765509	0.73075	no	27.7903	28.2711
YAR027W	-0.0158826	0.755495	0.7183	no	184.63	182.609
YAR028W	-0.0547626	0.286868	0.24095	no	72.349	69.6542
YAR029W	-0.0778835	0.726478	0.68605	no	57.4031	54.3864
YAR030C	0.0731482	0.657913	0.61255	no	27.7267	29.1688
YAR031W	-0.0385034	0.583357	0.5327	no	28.7704	28.0127
YAR033W	-0.0501757	0.349265	0.2995	no	57.1333	55.1804
YAR035C-A	2.00349	1	1	no	34.9956	140.321
YAR035W	0.926286	9.44412e-05	5e-05	yes	12.4713	23.7002
YAR042W	0.0666986	0.145946	0.1154	no	42.9872	45.0213
YAR047C	-0.253264	0.241162	0.1995	no	4.78657	4.01592
YAR050W	-0.255553	9.44412e-05	5e-05	yes	8.10017	6.78524
YAR053W	1.45649	9.44412e-05	5e-05	yes	6.64116	18.226
YAR060C	0.477279	0.0555432	0.0407	no	2.19999	3.06264
YAR061W	-0.335743	0.225923	0.18565	no	10.1934	8.07702
YAR062W	-0.36805	0.024242	0.0168	yes	2.88073	2.23208
YAR064W	-0.147523	0.284448	0.2387	no	19.2822	17.408
YAR066W	0.0767667	0.434911	0.38245	no	12.2873	12.9589
YAR068W	0.823206	9.44412e-05	5e-05	yes	48.9145	86.5461
YAR069C	-0.853195	1	1	no	2.59506	1.43652
YAR070C	-0.489374	0.0366661	0.02615	yes	4.685	3.33728
YAR071W	-4.26366	9.44412e-05	5e-05	yes	291.95	15.1992
YAR073W	-1.36425	9.44412e-05	5e-05	yes	45.4467	17.6532
YAR075W	-1.06215	9.44412e-05	5e-05	yes	110.994	53.1571
YBL001C	0.576702	9.44412e-05	5e-05	yes	719.143	1072.56
YBL002W	0.260045	9.44412e-05	5e-05	yes	1200.94	1438.14
YBL003C	0.52839	9.44412e-05	5e-05	yes	2032.28	2931.2
YBL004W	-0.366658	9.44412e-05	5e-05	yes	20.2999	15.7441
YBL005W	-1.24038	9.44412e-05	5e-05	yes	29.3261	12.4126
YBL005W-A	inf	1	1	no	0	13.9532
YBL005W-B	-2.08306	9.44412e-05	5e-05	yes	61.8604	14.5998
YBL006C	-0.327887	9.44412e-05	5e-05	yes	420.005	334.619
YBL006W-A	-0.341124	0.214896	0.1758	no	624.869	493.288
YBL007C	-0.0208279	0.679093	0.63445	no	94.3322	92.9802
YBL008W	-0.0445442	0.39011	0.3387	no	14.6346	14.1897
YBL008W-A	-0.424607	1	1	no	5.1061	3.80425
YBL009W	-0.148129	0.0033331	0.00205	yes	17.463	15.7589
YBL010C	0.448706	9.44412e-05	5e-05	yes	27.1484	37.0526
YBL011W	0.0353897	0.46082	0.4077	no	80.939	82.949
YBL012C	-0.649907	0.0440353	0.03185	yes	26.0516	16.6032
YBL013W	-0.222343	0.0197503	0.0135	yes	5.19613	4.45398
YBL014C	-0.137998	0.00833839	0.0054	yes	11.206	10.1838
YBL015W	0.550552	9.44412e-05	5e-05	yes	68.5348	100.379
YBL016W	-0.401782	9.44412e-05	5e-05	yes	70.9193	53.6804
YBL017C	0.153634	0.000702012	0.0004	yes	58.3569	64.9143
YBL018C	-0.148135	0.00530565	0.00335	yes	143.36	129.37
YBL019W	0.203084	9.44412e-05	5e-05	yes	15.4064	17.7352
YBL020W	-0.0605584	0.214038	0.175	no	33.0571	31.6983
YBL021C	-0.0384412	0.462173	0.4092	no	149.275	145.35
YBL022C	-0.250523	9.44412e-05	5e-05	yes	60.94	51.2257
YBL023C	0.180315	9.44412e-05	5e-05	yes	24.9178	28.2352
YBL024W	-0.593785	9.44412e-05	5e-05	yes	59.2914	39.2866
YBL025W	0.0191254	0.789863	0.7575	no	57.2966	58.0612
YBL026W	-0.00588055	0.917478	0.90275	no	383.889	382.327
YBL027W	-0.356388	9.44412e-05	5e-05	yes	4829.87	3772.7
YBL028C	-0.854417	9.44412e-05	5e-05	yes	191.852	106.111
YBL029C-A	0.247741	9.44412e-05	5e-05	yes	245.26	291.208
YBL029W	0.263906	9.44412e-05	5e-05	yes	35.9753	43.1964
YBL030C	0.311154	9.44412e-05	5e-05	yes	492.165	610.629
YBL031W	-0.098072	0.0693987	0.0515	no	30.6078	28.5963
YBL032W	-0.215614	9.44412e-05	5e-05	yes	157.176	135.357
YBL033C	0.130085	0.00340508	0.0021	yes	150.917	165.158
YBL034C	0.0644857	0.238267	0.19685	no	5.93426	6.20552
YBL035C	0.0749345	0.189904	0.1537	no	11.1569	11.7517
YBL036C	0.047505	0.330511	0.2817	no	102.354	105.78
YBL037W	-0.332274	9.44412e-05	5e-05	yes	21.2812	16.9033
YBL038W	-0.0219733	0.670077	0.6249	no	107.349	105.726
YBL039C	-1.2211	9.44412e-05	5e-05	yes	81.7911	35.0848
YBL039C-A	-1.12658	1	1	no	59.5088	27.255
YBL039W-B	0.668339	9.44412e-05	5e-05	yes	348.739	554.23
YBL040C	0.362917	9.44412e-05	5e-05	yes	188.615	242.564
YBL041W	0.347081	9.44412e-05	5e-05	yes	583.639	742.379
YBL042C	0.260921	9.44412e-05	5e-05	yes	30.5755	36.6369
YBL043W	0.533611	9.44412e-05	5e-05	yes	15.5755	22.5463
YBL044W	3.16325	9.44412e-05	5e-05	yes	8.48367	76.0008
YBL045C	-0.0157274	0.749048	0.7108	no	169.496	167.659
YBL046W	0.236623	9.44412e-05	5e-05	yes	75.7364	89.235
YBL047C	-0.111487	0.0191865	0.0131	yes	110.357	102.15
YBL048W	0.608269	9.44412e-05	5e-05	yes	13.7082	20.8972
YBL049W	0.655231	9.44412e-05	5e-05	yes	38.665	60.8922
YBL050W	0.308477	9.44412e-05	5e-05	yes	175.266	217.049
YBL051C	-0.374686	9.44412e-05	5e-05	yes	84.9452	65.5159
YBL052C	0.0294356	0.65367	0.6082	no	19.7584	20.1657
YBL053W	0.514513	9.44412e-05	5e-05	yes	108.354	154.784
YBL054W	-1.28869	9.44412e-05	5e-05	yes	23.8153	9.7481
YBL055C	-0.337467	9.44412e-05	5e-05	yes	78.2132	61.9003
YBL056W	-0.274393	9.44412e-05	5e-05	yes	253.991	209.999
YBL057C	-0.0233255	0.633211	0.58655	no	223.639	220.052
YBL058W	-0.0892091	0.0512858	0.0374	no	250.529	235.507
YBL059C-A	0.0149205	0.824681	0.7948	no	131.862	133.233
YBL059W	0.177268	0.00364108	0.00225	yes	41.6841	47.1339
YBL060W	0.291679	9.44412e-05	5e-05	yes	17.4447	21.3534
YBL061C	-0.364793	9.44412e-05	5e-05	yes	52.9848	41.1469
YBL062W	0.304922	0.0253404	0.0176	yes	77.5176	95.7615
YBL063W	-0.110944	0.0258594	0.018	yes	10.5394	9.7593
YBL064C	-0.0418748	0.382791	0.33135	no	198.429	192.753
YBL065W	-0.00998697	0.980899	0.97835	no	5.82772	5.78752
YBL066C	0.437166	9.44412e-05	5e-05	yes	10.6805	14.4607
YBL067C	0.107833	0.0169571	0.0115	yes	40.6908	43.8488
YBL068W	-0.517725	9.44412e-05	5e-05	yes	76.8308	53.6642
YBL068W-A	0.119337	1	1	no	115.955	125.955
YBL069W	-0.28681	9.44412e-05	5e-05	yes	38.6696	31.6979
YBL070C	-0.436444	0.0770355	0.05765	no	21.6658	16.01
YBL071C	0.102428	0.346892	0.2972	no	60.1777	64.6055
YBL071C-B	-0.656616	1	1	no	56.8993	36.0949
YBL071W-A	-0.105969	0.261304	0.2176	no	154.389	143.455
YBL072C	-0.334781	9.44412e-05	5e-05	yes	4395.22	3484.99
YBL073W	-0.905592	0.0408726	0.0294	yes	4.91295	2.6226
YBL074C	-0.597023	9.44412e-05	5e-05	yes	10.1479	6.70898
YBL075C	0.257098	9.44412e-05	5e-05	yes	22.6123	27.0233
YBL076C	-0.464651	9.44412e-05	5e-05	yes	206.733	149.808
YBL077W	0.252016	0.0610502	0.04495	no	419.559	499.64
YBL078C	0.383294	9.44412e-05	5e-05	yes	266.176	347.177
YBL079W	-0.262963	9.44412e-05	5e-05	yes	20.5932	17.1619
YBL080C	0.19553	9.44412e-05	5e-05	yes	22.0304	25.228
YBL081W	-0.658151	9.44412e-05	5e-05	yes	98.0263	62.1183
YBL082C	0.206003	9.44412e-05	5e-05	yes	72.3949	83.5067
YBL083C	0.709126	9.44412e-05	5e-05	yes	94.6133	154.675
YBL084C	0.571734	9.44412e-05	5e-05	yes	19.0499	28.314
YBL085W	0.563968	9.44412e-05	5e-05	yes	59.217	87.5423
YBL086C	0.264336	9.44412e-05	5e-05	yes	85.4621	102.647
YBL087C	-0.550784	9.44412e-05	5e-05	yes	4110.9	2806.3
YBL088C	-0.0410798	0.391171	0.3398	no	7.95309	7.72982
YBL089W	-0.129206	0.00783307	0.00505	yes	34.5984	31.6345
YBL090W	-0.109788	0.0306986	0.02165	yes	88.7835	82.2778
YBL091C	0.123134	0.00906552	0.0059	yes	319.702	348.187
YBL091C-A	0.266602	9.44412e-05	5e-05	yes	137.14	164.976
YBL092W	-0.351897	9.44412e-05	5e-05	yes	10267.9	8045.44
YBL093C	-0.176126	9.44412e-05	5e-05	yes	220.21	194.902
YBL094C	0.857908	0.016821	0.0114	yes	12.4603	22.5832
YBL095W	0.38911	9.44412e-05	5e-05	yes	59.249	77.5917
YBL096C	0.329314	0.35656	0.3063	no	9.96524	12.5205
YBL097W	-0.277109	9.44412e-05	5e-05	yes	8.29847	6.84825
YBL098W	0.193678	0.00018467	0.0001	yes	16.9338	19.3668
YBL099W	0.0742403	0.135636	0.10675	no	311.854	328.322
YBL100C	-0.527577	0.166337	0.1331	no	85.2381	59.1313
YBL100W-A	inf	1	1	no	0	3.39494
YBL100W-B	-1.13608	9.44412e-05	5e-05	yes	15.4444	7.02709
YBL100W-C	-0.358728	0.36257	0.31235	no	35.0688	27.3484
YBL101C	-0.410913	9.44412e-05	5e-05	yes	41.2448	31.0221
YBL102W	0.0346327	0.470078	0.4174	no	179.964	184.336
YBL103C	-0.0247755	0.61999	0.57165	no	47.3421	46.536
YBL104C	0.0155844	0.762645	0.72755	no	15.7987	15.9703
YBL105C	0.0533088	0.249281	0.20675	no	52.7292	54.7141
YBL106C	0.208142	9.44412e-05	5e-05	yes	10.6984	12.3588
YBL107C	-0.069762	0.15371	0.12215	no	117.258	111.723
YBL107W-A	0.561406	0.026717	0.01865	yes	127.255	187.791
YBL108C-A	0.477306	0.0800491	0.06015	no	45.9035	63.9043
YBL108W	0.929011	1	1	no	1.07189	2.04084
YBL109W	0.943775	9.44412e-05	5e-05	yes	2.89305	5.56494
YBL111C	-0.075879	0.200079	0.1627	no	11.0872	10.5191
YBL112C	0.0603597	0.838844	0.8114	no	45.0613	46.9865
YBL113C	0.514487	9.44412e-05	5e-05	yes	60.469	86.3792
YBL113W-A	2.04035	0.00605212	0.00385	yes	3.52623	14.505
YBR001C	0.229793	9.44412e-05	5e-05	yes	39.2191	45.9909
YBR002C	-0.273908	9.44412e-05	5e-05	yes	79.2912	65.5799
YBR003W	-0.0365095	0.444271	0.3917	no	70.467	68.7061
YBR004C	-0.0380441	0.443517	0.3909	no	56.7034	55.2277
YBR005W	-0.118964	0.00999383	0.00655	yes	269.38	248.058
YBR006W	0.317991	9.44412e-05	5e-05	yes	42.6139	53.1222
YBR007C	0.391509	9.44412e-05	5e-05	yes	23.6297	30.9966
YBR008C	0.343711	9.44412e-05	5e-05	yes	25.8262	32.7739
YBR009C	0.250464	9.44412e-05	5e-05	yes	5086.72	6051.1
YBR010W	0.344596	9.44412e-05	5e-05	yes	2166.51	2751.03
YBR011C	0.376448	9.44412e-05	5e-05	yes	1530.19	1986.41
YBR012C	-0.756215	9.44412e-05	5e-05	yes	23.4178	13.8644
YBR012W-A	inf	1	1	no	0	25.9556
YBR012W-B	-1.98902	9.44412e-05	5e-05	yes	51.3184	12.9276
YBR013C	0.08647	0.332618	0.28375	no	35.8518	38.0664
YBR014C	0.567755	9.44412e-05	5e-05	yes	107.217	158.918
YBR015C	-0.0249244	0.604359	0.55465	no	125.31	123.164
YBR016W	0.200662	9.44412e-05	5e-05	yes	865.222	994.336
YBR017C	-0.523686	9.44412e-05	5e-05	yes	55.3194	38.4797
YBR018C	0.91812	9.44412e-05	5e-05	yes	5.64879	10.6742
YBR019C	0.0407026	0.555544	0.50365	no	7.13122	7.33528
YBR020W	0.419808	9.44412e-05	5e-05	yes	10.6772	14.2834
YBR021W	-0.229942	9.44412e-05	5e-05	yes	12.7112	10.8385
YBR022W	-0.462345	9.44412e-05	5e-05	yes	74.6744	54.1991
YBR023C	0.275411	9.44412e-05	5e-05	yes	46.7776	56.6168
YBR024W	0.0233332	0.672323	0.6272	no	40.6457	41.3084
YBR025C	-0.64299	9.44412e-05	5e-05	yes	674.663	432.043
YBR026C	0.0099399	0.845757	0.81925	no	90.2358	90.8597
YBR027C	-0.0560775	0.755495	0.71865	no	7.26697	6.98992
YBR028C	-0.360588	9.44412e-05	5e-05	yes	36.8443	28.6961
YBR029C	-0.304	9.44412e-05	5e-05	yes	78.8447	63.8645
YBR030W	-0.339164	9.44412e-05	5e-05	yes	29.4198	23.2563
YBR031W	0	1	1	no	3273.08	0
YBR032W	-0.214137	0.00224007	0.00135	yes	114.323	98.5536
YBR033W	0.123131	0.0185732	0.01265	yes	9.98265	10.8721
YBR034C	-1.28538	9.44412e-05	5e-05	yes	205.371	84.2565
YBR035C	0.450379	9.44412e-05	5e-05	yes	217.172	296.744
YBR036C	0.0801664	0.086337	0.06535	no	289.476	306.016
YBR037C	0.208326	9.44412e-05	5e-05	yes	70.7517	81.7427
YBR038W	-0.464564	9.44412e-05	5e-05	yes	22.9253	16.6138
YBR039W	0.204967	9.44412e-05	5e-05	yes	213.34	245.908
YBR040W	0.13083	1	1	no	0.374477	0.410023
YBR041W	-0.2768	9.44412e-05	5e-05	yes	66.017	54.4917
YBR042C	-0.0905494	0.052739	0.0385	no	58.6219	55.0556
YBR043C	0.444332	9.44412e-05	5e-05	yes	35.4759	48.2715
YBR044C	-0.0107902	0.834898	0.8072	no	39.6225	39.3272
YBR045C	0.0417661	0.622272	0.5748	no	4.93993	5.08503
YBR046C	0.139214	0.00318237	0.00195	yes	83.0873	91.5045
YBR047W	-0.394631	9.44412e-05	5e-05	yes	32.359	24.6149
YBR048W	-0.449949	9.44412e-05	5e-05	yes	4496.7	3291.9
YBR049C	-0.165081	0.00018467	0.0001	yes	34.0787	30.394
YBR050C	-0.653198	9.44412e-05	5e-05	yes	42.0934	26.7659
YBR051W	-0.502343	0.0234123	0.0162	yes	17.2741	12.1948
YBR052C	0.35476	9.44412e-05	5e-05	yes	489.365	625.786
YBR053C	0.124874	0.00552716	0.0035	yes	89.0958	97.1512
YBR054W	-1.90521	9.44412e-05	5e-05	yes	66.8816	17.8559
YBR055C	0.327393	9.44412e-05	5e-05	yes	18.3314	23.0012
YBR056C-B	-1.15354	9.44412e-05	5e-05	yes	1002.75	450.756
YBR056W	-0.051593	0.271883	0.2272	no	103.312	99.6828
YBR056W-A	-1.45797	9.44412e-05	5e-05	yes	964.157	350.957
YBR057C	0.223658	9.44412e-05	5e-05	yes	85.7248	100.1
YBR058C	0.00553787	0.914102	0.89845	no	38.3349	38.4824
YBR058C-A	0.213185	9.44412e-05	5e-05	yes	756.065	876.464
YBR059C	0.377253	9.44412e-05	5e-05	yes	65.1042	84.5617
YBR060C	-0.201898	9.44412e-05	5e-05	yes	29.7273	25.8451
YBR061C	-0.648442	9.44412e-05	5e-05	yes	39.3915	25.1305
YBR062C	0.140478	0.00386755	0.0024	yes	125.49	138.324
YBR063C	0.142632	0.0126135	0.0084	yes	18.8737	20.835
YBR064W	-1.29062	1	1	no	0.942389	0.385225
YBR065C	-0.422341	9.44412e-05	5e-05	yes	12.0036	8.9572
YBR066C	0.00711169	0.90088	0.8827	no	70.1873	70.5342
YBR067C	-2.8702	9.44412e-05	5e-05	yes	1753.27	239.791
YBR068C	-0.841113	9.44412e-05	5e-05	yes	336.502	187.839
YBR069C	-1.23584	9.44412e-05	5e-05	yes	144.637	61.4121
YBR070C	1.56645	9.44412e-05	5e-05	yes	42.5889	126.138
YBR071W	0.413931	9.44412e-05	5e-05	yes	118.387	157.729
YBR072C-A	1.47622	0.00018467	0.0001	yes	8.88153	24.7101
YBR072W	0.092357	0.153014	0.12155	no	36.941	39.3832
YBR073W	0.301736	9.44412e-05	5e-05	yes	36.5303	45.0282
YBR074W	-0.0486641	0.310952	0.2627	no	29.5579	28.5775
YBR076C-A	0.703925	9.44412e-05	5e-05	yes	108.747	177.141
YBR076W	0.292188	0.000702012	0.0004	yes	8.0463	9.85266
YBR077C	0.699225	9.44412e-05	5e-05	yes	129.271	209.888
YBR078W	-0.187004	0.000360088	0.0002	yes	1090.98	958.345
YBR079C	-0.60719	9.44412e-05	5e-05	yes	179.156	117.611
YBR080C	-0.0935133	0.0388415	0.02785	yes	65.7635	61.636
YBR081C	0.209717	9.44412e-05	5e-05	yes	18.9775	21.9467
YBR082C	0.122484	0.00941647	0.00615	yes	1587.22	1727.86
YBR083W	-0.064586	0.17119	0.13735	no	53.882	51.523
YBR084C-A	-0.234585	9.44412e-05	5e-05	yes	3080.98	2618.62
YBR084W	-0.347728	9.44412e-05	5e-05	yes	88.49	69.5373
YBR085C-A	0.101291	0.0280573	0.01965	yes	1509.58	1619.37
YBR085W	-0.985925	9.44412e-05	5e-05	yes	40.6382	20.5183
YBR086C	-0.100285	0.0301324	0.0212	yes	123.916	115.595
YBR087W	-0.03856	0.440967	0.38845	no	57.5938	56.0749
YBR088C	0.0946231	0.0858291	0.0649	no	90.056	96.1605
YBR089C-A	0.451117	9.44412e-05	5e-05	yes	1008.15	1378.25
YBR089W	-0.555469	0.000949974	0.00055	yes	30.0148	20.4231
YBR090C	0.303503	0.0936677	0.0714	no	70.6382	87.1773
