gene_id	log2(fold_change)	q_value	p_value	significant	value_1	value_2
YIR017W-A	1.14037	0.00119611	0.0007	yes	5.29799	11.6787
YIR018C-A	0.743613	9.44412e-05	5e-05	yes	245.505	411.065
YIR018W	0.533082	9.44412e-05	5e-05	yes	31.0032	44.8621
YIR019C	0.477265	9.44412e-05	5e-05	yes	5.96702	8.3067
YIR020C	0.547479	1	1	no	24.8232	36.2798
YIR020C-B	-0.306524	0.410117	0.35765	no	2.73313	2.20997
YIR020W-A	0.0570639	0.911301	0.895	no	10.0167	10.4208
YIR021W	-0.106329	0.0332199	0.02355	yes	47.1161	43.7684
YIR021W-A	0.119331	0.702032	0.65835	no	6.33281	6.87889
YIR022W	0.18067	9.44412e-05	5e-05	yes	327.933	371.682
YIR023C-A	0.560685	9.44412e-05	5e-05	yes	60.9867	89.9535
YIR023W	-0.169533	0.000949974	0.00055	yes	20.8408	18.5302
YIR024C	0.0841729	0.123806	0.09655	no	52.7292	55.8972
YIR025W	0.373911	9.44412e-05	5e-05	yes	35.7737	46.3577
YIR026C	-0.411806	9.44412e-05	5e-05	yes	106.967	80.4053
YIR027C	1.49951	9.44412e-05	5e-05	yes	3.25594	9.20609
YIR028W	1.06515	9.44412e-05	5e-05	yes	5.57656	11.6683
YIR029W	0.493778	9.44412e-05	5e-05	yes	25.5362	35.9583
YIR030C	0.373373	0.000273377	0.00015	yes	6.10044	7.90237
YIR030W-A	1.09454	9.44412e-05	5e-05	yes	9.92315	21.1904
YIR031C	0.0266418	0.669122	0.6236	no	17.6801	18.0096
YIR032C	1.03258	9.44412e-05	5e-05	yes	10.3514	21.1756
YIR033W	-0.175427	9.44412e-05	5e-05	yes	62.128	55.0147
YIR034C	-0.864267	9.44412e-05	5e-05	yes	97.9235	53.7919
YIR035C	-0.828877	9.44412e-05	5e-05	yes	214.247	120.614
YIR036C	0.458038	9.44412e-05	5e-05	yes	170.753	234.558
YIR036W-A	0.391256	0.264672	0.22085	no	12.2616	16.0816
YIR037W	0.391738	9.44412e-05	5e-05	yes	436.892	573.191
YIR038C	0.413951	9.44412e-05	5e-05	yes	168.792	224.886
YIR039C	0.906966	9.44412e-05	5e-05	yes	20.8138	39.0279
YIR040C	1.02055	9.44412e-05	5e-05	yes	3.56337	7.22901
YIR041W	1.05224	9.44412e-05	5e-05	yes	7.67711	15.9204
YIR042C	1.15481	9.44412e-05	5e-05	yes	25.517	56.8151
YIR043C	1.03674	9.44412e-05	5e-05	yes	7.12469	14.6169
YIR044C	0.575251	0.000447034	0.00025	yes	47.6064	70.9305
YJL001W	0.0160871	0.744001	0.7051	no	543.575	549.671
YJL002C	-0.0642702	0.166337	0.1331	no	173.245	165.697
YJL003W	0.488447	9.44412e-05	5e-05	yes	101.106	141.846
YJL004C	0.212991	9.44412e-05	5e-05	yes	80.4375	93.2342
YJL005W	-0.166209	0.000360088	0.0002	yes	32.7441	29.1809
YJL006C	0.34778	9.44412e-05	5e-05	yes	12.6673	16.1205
YJL007C	0.235239	0.502948	0.4502	no	2.0556	2.41965
YJL008C	-0.147549	0.00431802	0.0027	yes	240.12	216.776
YJL009W	0.317377	0.0121325	0.00805	yes	468.383	583.635
YJL010C	-0.775148	9.44412e-05	5e-05	yes	30.3316	17.7236
YJL011C	-0.687734	9.44412e-05	5e-05	yes	42.245	26.2269
YJL012C	-1.42092	9.44412e-05	5e-05	yes	202.441	75.6068
YJL013C	0.282081	9.44412e-05	5e-05	yes	28.3155	34.4302
YJL014W	-0.204053	9.44412e-05	5e-05	yes	250.366	217.345
YJL015C	-0.455604	0.00168236	0.001	yes	110.506	80.5817
YJL016W	-1.01323	9.44412e-05	5e-05	yes	56.7091	28.0957
YJL019W	-0.211203	9.44412e-05	5e-05	yes	15.122	13.0627
YJL020C	0.205678	9.44412e-05	5e-05	yes	71.3897	82.3286
YJL020W-A	-0.566449	0.41731	0.36525	no	32.1621	21.7183
YJL022W	-0.320816	0.544069	0.4915	no	4.51448	3.61437
YJL023C	0.15049	0.00386755	0.0024	yes	29.8168	33.0951
YJL024C	0.0159684	0.768002	0.7336	no	76.5238	77.3755
YJL025W	-0.0605306	0.424435	0.3722	no	8.09855	7.76579
YJL026C-A	-0.39098	0.0313095	0.0221	yes	583.038	444.631
YJL026W	-0.473443	9.44412e-05	5e-05	yes	315.233	227.045
YJL027C	0.525952	0.000360088	0.0002	yes	6.03848	8.69471
YJL028W	0.130319	1	1	no	1.12642	1.23291
YJL029C	-0.146434	0.00127754	0.00075	yes	26.205	23.6757
YJL030W	0.221037	9.44412e-05	5e-05	yes	95.0177	110.75
YJL031C	0.155896	0.0023195	0.0014	yes	56.7459	63.2214
YJL032W	0.905794	0.000532366	0.0003	yes	25.4115	47.6104
YJL033W	-0.907131	9.44412e-05	5e-05	yes	43.4727	23.1816
YJL034W	-0.204861	9.44412e-05	5e-05	yes	259.452	225.106
YJL035C	0.0141565	0.798633	0.7664	no	67.1886	67.8511
YJL036W	0.206879	9.44412e-05	5e-05	yes	68.4613	79.0173
YJL037W	1.72225	9.44412e-05	5e-05	yes	2.19699	7.24897
YJL038C	0.210762	0.0877146	0.0665	no	4.97816	5.76122
YJL039C	-0.45579	9.44412e-05	5e-05	yes	20.7437	15.1245
YJL041W	-0.171883	9.44412e-05	5e-05	yes	63.2172	56.1168
YJL042W	0.0994432	0.0277185	0.0194	yes	42.2668	45.283
YJL043W	-0.0629506	0.542185	0.48955	no	8.31241	7.95751
YJL044C	0.159198	0.00018467	0.0001	yes	73.1	81.6284
YJL045W	0.725229	9.44412e-05	5e-05	yes	4.36836	7.22161
YJL046W	-0.310484	9.44412e-05	5e-05	yes	24.464	19.7271
YJL047C	0.291549	9.44412e-05	5e-05	yes	12.2257	14.9637
YJL047C-A	0.321092	0.148969	0.11795	no	106.103	132.552
YJL048C	0.344897	9.44412e-05	5e-05	yes	59.1506	75.1248
YJL049W	0.0586826	0.261976	0.2182	no	27.455	28.5948
YJL050W	-0.962667	9.44412e-05	5e-05	yes	53.0467	27.2187
YJL051W	-0.187465	9.44412e-05	5e-05	yes	15.5045	13.6152
YJL052C-A	1.47827	9.44412e-05	5e-05	yes	85.1988	237.376
YJL052W	0	1	1	no	0	0
YJL053W	-0.0649397	0.160703	0.12815	no	76.8588	73.4759
YJL054W	-0.0324392	0.500947	0.44795	no	79.5887	77.8191
YJL055W	0.373707	9.44412e-05	5e-05	yes	344.758	446.695
YJL056C	-0.291488	9.44412e-05	5e-05	yes	12.9658	10.5938
YJL057C	-0.0227814	0.65367	0.6081	no	27.1291	26.7041
YJL058C	0.0911593	0.130118	0.10195	no	12.066	12.853
YJL059W	0.213914	9.44412e-05	5e-05	yes	23.6535	27.4341
YJL060W	0.147758	0.00078492	0.00045	yes	81.7484	90.5647
YJL061W	-0.460645	9.44412e-05	5e-05	yes	31.5167	22.902
YJL062W	0.181402	9.44412e-05	5e-05	yes	41.8759	47.4866
YJL062W-A	-0.112778	0.0161269	0.0109	yes	1050.34	971.356
YJL063C	-0.387982	9.44412e-05	5e-05	yes	212.953	162.739
YJL064W	-0.614629	0.00184112	0.0011	yes	42.934	28.0401
YJL065C	0.0922676	0.126315	0.0987	no	121.328	129.341
YJL066C	-0.00258106	0.968301	0.9646	no	83.3601	83.2111
YJL067W	0.311722	0.00103333	0.0006	yes	137.387	170.524
YJL068C	0.182101	9.44412e-05	5e-05	yes	126.008	142.961
YJL069C	-1.25048	9.44412e-05	5e-05	yes	32.5895	13.6976
YJL070C	0.123942	0.00884959	0.00575	yes	21.9928	23.9658
YJL071W	0.191169	9.44412e-05	5e-05	yes	16.6095	18.9629
YJL072C	0.100083	0.0780437	0.0585	no	46.1707	49.4874
YJL073W	0.244441	9.44412e-05	5e-05	yes	23.5545	27.9034
YJL074C	0.317042	9.44412e-05	5e-05	yes	9.21819	11.4838
YJL075C	0.683969	0.000273377	0.00015	yes	55.6529	89.4094
YJL076W	-0.343349	9.44412e-05	5e-05	yes	44.8432	35.3458
YJL077C	1.98496	9.44412e-05	5e-05	yes	106.89	423.124
YJL077W-A	1.58152	0.0751177	0.0561	no	135.409	405.261
YJL077W-B	1.25166	9.44412e-05	5e-05	yes	457.41	1089.16
YJL078C	-0.65996	9.44412e-05	5e-05	yes	143.115	90.577
YJL079C	-0.144734	0.00168236	0.001	yes	343.595	310.797
YJL080C	-0.112369	0.0196171	0.0134	yes	144.436	133.613
YJL081C	-0.0224467	0.646669	0.6005	no	66.8239	65.7923
YJL082W	-1.1394	9.44412e-05	5e-05	yes	112.68	51.1511
YJL083W	0.101469	0.0408117	0.02935	yes	20.8844	22.4061
YJL084C	0.337235	9.44412e-05	5e-05	yes	15.2758	19.2984
YJL085W	0.117933	0.0937801	0.0715	no	20.5313	22.2802
YJL086C	-0.405566	0.501029	0.4481	no	3.48243	2.62903
YJL087C	-0.299151	9.44412e-05	5e-05	yes	15.5282	12.6202
